name,rating,ratedby,price
MSI Gaming GeForce RTX 3060 12GB 15 Gbps GDRR6 192-Bit HDMI/DP PCIe 4 Torx Twin Fan Ampere OC Graphics Card,4.7/5,3171.0,285.0
MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP Support DirectX 12 VR Ready OC Graphics Card (GTX 1650 D6 Ventus XS OCV3),4.3/5,146.0,152.0
"GIGABYTE GeForce GTX 1650 D6 OC 4G (rev. 4.0) Graphics Card, 4GB GDDR6 128-bit, GV-N1656OC-4GD G40 Video Card",4.8/5,11.0,149.0
GIGABYTE GV-N1030D4-2GL GeForce GT 1030 Low Profile D4 2G Computer Graphics Card,4.4/5,1038.0,
"ASUS Dual NVIDIA GeForce RTX 3050 6GB OC Edition Gaming Graphics Card - PCIe 4.0, 6GB GDDR6 Memory, HDMI 2.1, DisplayPort 1.4a, 2-Slot Design, Axial-tech Fan Design, 0dB Technology, Steel Bracket",4.6/5,786.0,174.0
"GeForce GTX 1660 Super 6GB Graphics Cards, GDRR6 192Bit PCIE 3.0X16 Computer Gaming Gpu, Dual Freeze Fans Video Card with HDMI/DP/DVI Ports Support 4K and 8K HD",4.5/5,125.0,189.0
"GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD Video Card",4.7/5,2506.0,289.0
"GTX 750Ti Graphics Card, 2GB GDDR5 128bit Direct X12 640SP Gaming Video Card, PCI Express 3.0x16 Interface, HDMI, DVI-D, VGA, Single Fan, Low Power GPU for Working Gaming",4.6/5,6.0,78.0
PNY GeForce GTX™ 1650 4GB GDDR6 Verto™ Dual Fan Graphics Card,4.6/5,254.0,169.0
MSI Gaming GeForce GT 1030 4GB GDRR4 64-bit HDCP Support DirectX 12 DP/HDMI Single Fan OC Graphics Card (GT 1030 4GD4 LP OC),4.6/5,137.0,95.0
"EVGA 06G-P4-1068-KR GeForce GTX 1660 Super Sc Ultra Gaming, 6GB GDDR6, Dual Fan, Metal Backplate",4.7/5,1532.0,239.0
Nvidia GeForce GTX 1070 Founders Edition (Renewed),4.4/5,168.0,174.0
"ASUS Dual GeForce® GTX 1650 V2 OC Edition 4GB GDDR6 (PCIE 3.0, 4GB GDDR6 memory, HDMI 2.0b, DisplayPort 1.4a, DVI-D, IP5X Dust Resistant, Auto-Extreme)",4.0/5,8.0,149.0
"ZOTAC GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card, Super Compact, ZT-T16600K-10M",4.6/5,2354.0,299.0
Nvidia GeForce GTX 1080 8GB FE Founders Edition GDDR5X Video Graphics Card (Renewed),4.5/5,29.0,182.0
GeForce GTX 1060 6GB GDDR5 192bit Gaming Graphics Card 4K HDR VR Ready Dual Cooling Fans Support DirectX 12 PCIe3.0 * 16 HDMI DVI DP Video Cards for PC,3.8/5,3.0,149.0
"GTX1050Ti 4GB Dual Fan DVI VGA Gaming Graphics Card, 128bit, DDR5, 700MHz, PCI Express 2.0, for Desktop Computer",2.2/5,11.0,58.0
MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP Support DirectX 12 VR Ready OC Graphics Card (GTX 1650 D6 Ventus XS OCV1) (Renewed),4.1/5,68.0,119.0
MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP Support DirectX 12 VR Ready OC Graphics Card (GTX 1650 D6 Ventus XS OCV1),4.6/5,404.0,
Brooks Women’s Cascadia 16 GTX Waterproof Trail Running Shoe,4.3/5,230.0,88.0
