,name,status,price,location,sold,link
0,"Samsung Galaxy A20 SM-A205U 32GB ROM 3GB RAM 6.4"" Unlocked Smartphone-New Sealed",Brand New,116.47,China,56.0,https://www.ebay.com/itm/295730617420?_nkw=phones&itmmeta=01J62TP565T699GPNDZCJWQE9N&hash=item44daeb1c4c:g:t2YAAOSwKn5kwy-w&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnegXSOJyD%2BxYnqUk4%2Be14KJxOE2b%2FuRte%2BuWP%2B9xA7BlD9BQbJit1So6%2Fow39bLy2fI1X2WwxZWh9HO8RIuto81R9raras2ld6tqCPBDr0y6xdPjSLbYu8c%2By%2BszmWgGmS6yQT--6He2snOrwuArT%2BfX%2F2yPoCGB5ar5%2BWuMIZILnN6N%2BvQ1hGmqQWOgCQVOnvrZPfQHDymE4Uxn%2BSXIzBZcXiH9jB4QF0%2B8Jmjei1Ma8dlUyN%2F4CMkaFzVCUaH%2B7zsu1%2BSd7g6Odvw2mYNNhZ%7Ctkp%3ABFBMltPY2rBk
1,Samsung Galaxy S22 128GB S901U Unlocked - Good,Good - Refurbished,204.99,United States,769.0,https://www.ebay.com/itm/255865325274?_nkw=phones&epid=3052289357&itmmeta=01J62TP565QGYKTDNX3K13BXRM&hash=item3b92c306da:g:piAAAOSwVKBjj2Uc&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKny9DAMrALxykPkOOSLbNLN3%2BBzC7qacKTekRSTEkunRIPvENVaZJjSfLsTEDITusBfAJrqbhiT3SWC13vHsTltzh03twDdO2shEYiz%2Fw9RicMJPBUuPZa8m9vHdyH1rWTTPgpCjRi7PmDB1orAX41LJ6bA6%2BDshdk%2BR4L5JMVfpUalj3INQ648dcf0Bl%2B6tWt4evKgEJRvEZHnK8kFcoU2oZToXSUilxBW9B6vx8ue3ASAQIrFvoKE7on24YWSZ90tMDfYGrJNQb8cl3wCZQQt%7Ctkp%3ABFBMmNPY2rBk
2,samsung galaxy note 20 5g unlocked,Pre-Owned,250.0,United States,,https://www.ebay.com/itm/156369036016?_nkw=phones&itmmeta=01J62TP5654XFTEBX398ECP7HW&hash=item24685222f0:g:zgEAAOSwYytmw62w&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnWHPDHhe0ICFU6vgKd%2BEHzPsu6YwZo%2F5BKHGania7O6TzgpzlpHk%2FB%2F153SYORzpIk5wAKK9b%2FSVzTqD5ax00BmOa00doaTgVcgB9LOfhe91m%2BHxOd1aReWX8Zj3Vesu1OyvqqNFTP3mL2EWP4xn9sm3OaSzY%2BvmZvF7sVIwm0HyKQnOt99QZnwIiCMprfKX2YF62NiSzg1vap0ew0oP89pGfcBusA4EXRilR9JSMUPns9FSQ33lkvJigD%2BKLqCk3ypl7HlYyndkNGlt89kl2q%7Ctkp%3ABFBMmNPY2rBk
3,Apple iPhone 5 16GB/32GB/64GB Black/White Fully unlocked rare ios 6,Open Box,37.98,China,,https://www.ebay.com/itm/404971752517?_nkw=phones&itmmeta=01J62TP565YV2QB535T80FF695&hash=item5e4a328c45:g:Yu8AAOSwmZdmEMS7&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKn1k%2FL2UscX3zdr%2Fg4TL66dICZC%2F4kGjWwyNTr29z6%2B86b%2B%2FLTrBmUufaftCmSI6IgXWYz4IacDEtG%2FEph8VbPZigyNopUiCqvDqilv069mnSQ9zQb6BNhPBQxdAKYsW%2FJczLPESWG3DKgz3LlNiYW1LJwleKCUWW6%2B3PNNmYBOjlqVEuT5cFLWW9gXkPFwVcxvY2Avx7QJV81%2FcdAUBOgUwidErN79yrOB%2BqcxpNNuAyPqsbjXgakdselWHoqNhC5oWlZQZKarxnyBLtHD9zok%7Ctkp%3ABFBMmNPY2rBk
4,Working well Apple iPhone 5 5c 5s 8/16/32/64GB All colours Fully UNLOCKED Good!!,Open Box,28.99,China,,https://www.ebay.com/itm/126435608547?_nkw=phones&epid=240530998&itmmeta=01J62TP565M04404E1PS31T730&hash=item1d702647e3:g:ugYAAOSwywhmIh~~&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKly1BWirOQDaTnHU9g1GBtCRaLSWuxyB2tNnJ326F6ZFi8Ja8ZTWhg2v0DrpNBv%2B%2FVecX5TJ0rndHlUxnJJpQorC%2Bg%2BxuBr1GYyRg2qNczPpoK59LU3BWehBqZIZN9nvM6E80caGM8XGmb83ogd3%2F8uuk7UrxJAojyiqM5bkFd95efo6KM4qmwvyOnAg%2BZ5hvXvoX%2FJMdb%2FE%2FkVdMVYUwXrLW5XjQO%2BwY5qCW8wjEkYDg%3D%3D%7Ctkp%3ABk9SR5jT2NqwZA
5,Original Unlocked Samsung Galaxy Folder2(SM-G160N)LTE 4G 8.0 MP Smartphone 1 SIM,Open Box,118.0,Hong Kong,,https://www.ebay.com/itm/276042063671?_nkw=phones&itmmeta=01J62TP565367PC8DWZWM0TW55&hash=item4045639f37:g:KeAAAOSweJtk3Ih2&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmSvadcUNCJYCYl3eZy81W50Oj9om%2BtiMF%2F5IcKi11i1FdGCSvP%2Fy8jFORtTXKTd7rg8vxk2s6pywu8MtUWpzd0wu1JhAh8TwKl5xCISkOOVejKcA86g8tGcfy1eEGr5dNHWxkqipyNj4NoqVFswhpMWcCy%2F4cU7kjgmUS20A1GpqmBPFKmrUVFIoNBXQtNTA7vKhjjYvWz9lMAsvDCQXKsFvD1mI0j%2FyjJuw5P7Wa%2BEg%3D%3D%7Ctkp%3ABk9SR5jT2NqwZA
6,"I14 Pro Max 6.5"" Android Smartphone 4GB+128GB GSM Global Unlocked Cell Phone",Brand New,75.53,China,,https://www.ebay.com/itm/395472375483?_nkw=phones&itmmeta=01J62TP565504YV5WG6FP2N5G1&hash=item5c13fd8ebb:g:TkUAAOSwhl1mbeAd&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnjmGXjJZPwnGO5JqSwhPysbFfBXxpArrXSs277QrHJXWJdHi8iIRRF3v3as66tg%2BLBMMeOVsnO2rW%2BcVoBjitk3NST1EN1Rqf%2FJXq%2BQGDoWH5guiDC%2FwoWoqUZrFL9At32aG6rgJV2YChAYSd1JaKFhZm91NDlXD9h8xo%2FyhwBCa3TBiukhaixYz7tTG9gFR%2FQCnu9jPuUYT4avwSDem4G3ZHvNIfX12QN6cjWmWAZD03nb4CUHIGhnxClaNb7wVKDf2Ko4uimI%2BeaIFjYy--V%7Ctkp%3ABk9SR5jT2NqwZA
7,2024 Factory Unlocked Android Cheap Cell Phone Smartphone Dual SIM USA Quad Core,Brand New,65.59,United States,3150.0,https://www.ebay.com/itm/275427662747?_nkw=phones&itmmeta=01J62TP5653DKVC6Q5CFAXHBQM&hash=item4020c49b9b:g:sYkAAOSwjuZmNaBI&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmBt3JN8hDq8fy6LVNCkg3BrYCTuR8SXKz3q7LleUKqK1KwIOJA%2BOFQ48i01%2FXglx3pY7acnKsjf9Z9v3Zy7SVHZ%2Ft3G6IUiUZqwtQpmC8TnYFlmb5OG6EhHKhhdI%2F9%2BHLwPpUvmxW076LTrn674gmfgYZvOucH97ZDE6UBashU%2B6H7%2F4gwUuDtbaj%2FxT6RtbbekqSi3BPgu6572qflZ3%2FHzeUcLdclujYr%2BgM1AtvvWTsj1wCcNqstkKG7RlAXYSjOWsbJjprABoGdgqcCE3HB%7Ctkp%3ABk9SR5jT2NqwZA
8,Apple iPhone 11 Pro - 64GB - Midnight Green (Unlocked) A2215 (CDMA + GSM),Pre-Owned,130.35,Australia,,https://www.ebay.com/itm/395611423273?_nkw=phones&epid=3034222709&itmmeta=01J62TP566TBPYHAA3FSXQ0XG9&hash=item5c1c474229:g:qu4AAOSw-jZmt0BC&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlTHAEq98Etw0L9%2FlYgrJUCsmzMAEKn2s4OrBixeNpUO6aOQpvhgkmQauJ4CKz22pCGWHTMApjPHFS3KIeyJtbvOxN2tLaoAzxp8ayH2w8hyNl7%2B7YwAGJ%2Be9kr%2Bp%2BiT4DG0gjFEYqzxEgwNlCHX%2FXLEQP8nCx%2BvvnZSmAdfstespa3vsLUYzDR2iOhDNkXMHMeDZT%2BWTYKgCRtp7BQIL3RybBHe1IzIqCsx9xzEqDnQw%3D%3D%7Ctkp%3ABk9SR5jT2NqwZA
9,FOR SPECTRUM Motorola Razr+ Plus 40 Ultra XT2321 256GB Infinite Black - Good,Good - Refurbished,214.99,United States,152.0,https://www.ebay.com/itm/404911877165?_nkw=phones&itmmeta=01J62TP566DTW5P0T11H31Y67P&hash=item5e46a0ec2d:g:GTYAAOSwgX1lePrK&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm%2FJ4guCpy9Y7CEXQfrGaZ%2B1Vm%2BcgbCbj%2B7Hp2ZGTiSFqjXh2QXGuFieptEbKM0qrWjoODI3YBnNWI1NvlmVR0ynlYTIB3T0FLOkYnQfHGKaFVR03NUCSpzpqBHDPipBIItcLyuoVGq4UI4VZZ%2FqhA0WykfUU%2BwoHs2s5e67qzRDLWgTB32lX5Ljpi9vt59o3VfMMO2gkRt%2FrJ8I6ewhjNo0rkgE1WAyFLWkAHR9Nour9oflT5LkM5wE%2BONdtBWAcz%2BL1TLG988AgkBqIijKxVP%7Ctkp%3ABk9SR5jT2NqwZA
