name,price,link,location,time,seller,payment_on_delivery
Apple Iphone 11 Pro,70000.0,https://ouedkniss.com/smartphones-apple-iphone-11-pro-el-biar-alger-algerie-d35049954,"El biar, 16",il y a 21 minutes,Louail phone,
Apple iPhone 12 Pro,94500.0,https://ouedkniss.com/smartphones-apple-iphone-12-pro-el-biar-alger-algerie-d35049279,"El biar, 16",il y a 21 minutes,Louail phone,
Apple Iphone 13 Pro Max,146000.0,https://ouedkniss.com/smartphones-apple-iphone-13-pro-max-el-biar-alger-algerie-d35049233,"El biar, 16",il y a 21 minutes,Louail phone,
Apple iphone 11 Pro Max,85000.0,https://ouedkniss.com/smartphones-apple-iphone-11-pro-max-el-biar-alger-algerie-d34581031,"El biar, 16",il y a 21 minutes,Louail phone,
Apple iPhone 12 Pro Max,113000.0,https://ouedkniss.com/smartphones-apple-iphone-12-pro-max-el-biar-alger-algerie-d34252263,"El biar, 16",il y a 21 minutes,Louail phone,
Apple iPhone 14 full bypass,78800.0,https://ouedkniss.com/smartphones-apple-iphone-14-full-bypass-bouzareah-alger-algerie-d43201635,"Bouzareah, 16",il y a environ 2 heures,,
Iphone 11 Pro Max 512gb / 84%,85000.0,https://ouedkniss.com/smartphones-iphone-11-pro-max-512gb-84-kouba-alger-algerie-d43179228,"Kouba, 16",il y a environ 3 heures,,
Apple Iphone 11,57000.0,https://ouedkniss.com/smartphones-apple-iphone-11-el-biar-alger-algerie-d32911388,"El biar, 16",il y a 21 minutes,Louail phone,
Apple iPhone XR,45500.0,https://ouedkniss.com/smartphones-apple-iphone-xr-el-biar-alger-algerie-d26189663,"El biar, 16",il y a 21 minutes,Louail phone,
Apple iPhone XR 128G,49000.0,https://ouedkniss.com/telephones-portable-apple-iphone-xr-128g-bab-ezzouar-alger-algerie-d26555756,"Bab ezzouar, 16",il y a environ 1 heure,KABA STORE,
Apple iPhone 13 128G,103000.0,https://ouedkniss.com/smartphones-apple-iphone-13-128g-bab-ezzouar-alger-algerie-d26523425,"Bab ezzouar, 16",il y a environ 1 heure,KABA STORE,
Apple iPhone 11 64G,87000.0,https://ouedkniss.com/smartphones-apple-iphone-11-64g-bab-ezzouar-alger-algerie-d26348923,"Bab ezzouar, 16",il y a environ 1 heure,KABA STORE,
Apple iPhone xs max 64G,59000.0,https://ouedkniss.com/smartphones-apple-iphone-xs-max-64g-beni-messous-alger-algerie-d43336684,"Beni messous, 16",il y a environ 3 heures,,
Apple Iphone 11 pro max,70000.0,https://ouedkniss.com/smartphones-apple-iphone-11-pro-max-alger-centre-algerie-d43120347,"Alger centre, 16",il y a environ 4 heures,,
Apple IPhone 15 Pro Max 256G 2Sim,285000.0,https://ouedkniss.com/telephones-portable-apple-iphone-15-pro-max-256g-2sim-bab-ezzouar-alger-algerie-d26338637,"Bab ezzouar, 16",il y a environ 1 heure,KABA STORE,
Apple iPhone 14 128G 2Sim,165000.0,https://ouedkniss.com/smartphones-apple-iphone-14-128g-2sim-bab-ezzouar-alger-algerie-d26055902,"Bab ezzouar, 16",il y a environ 1 heure,KABA STORE,
Apple iPhone 14 Pro Max 128G,189000.0,https://ouedkniss.com/smartphones-apple-iphone-14-pro-max-128g-bab-ezzouar-alger-algerie-d25354718,"Bab ezzouar, 16",il y a environ 1 heure,KABA STORE,
